nameWithOwner;closedPRs;mergedPRs;totalPRs
hasura/graphql-engine;1016;2109;3125
pmndrs/zustand;99;456;555
halfrost/LeetCode-Go;23;173;196
markedjs/marked;384;994;1378
foundation/foundation-sites;1131;2950;4081
PaddlePaddle/PaddleOCR;309;2091;2400
google/googletest;1059;754;1813
n8n-io/n8n;1193;3510;4703
withastro/astro;478;3558;4036
CSSEGISandData/COVID-19;335;2152;2487
laravel/framework;13224;13637;26861
ariya/phantomjs;575;562;1137
typicode/husky;140;193;333
curl/curl;6459;158;6617
docker/compose;918;2614;3532
react-boilerplate/react-boilerplate;434;715;1149
alibaba/p3c;44;62;106
mathiasbynens/dotfiles;513;44;557
amix/vimrc;128;99;227
mingrammer/diagrams;121;237;358
odoo/odoo;90799;6163;96962
ReactiveX/rxjs;1235;2518;3753
elsewhencode/project-guidelines;14;113;127
hankcs/HanLP;49;73;122
sudheerj/reactjs-interview-questions;41;118;159
jgm/pandoc;358;1434;1792
ziadoz/awesome-php;576;386;962
square/leakcanary;130;846;976
google-research/google-research;187;29;216
tmux/tmux;519;1;520
airbnb/lottie-web;60;119;179
PKUanonym/REKCARC-TSC-UHT;11;118;129
PKUFlyingPig/cs-self-learning;15;175;190
aosabook/500lines;28;175;203
tastejs/todomvc;529;719;1248
symfony/symfony;9725;19860;29585
goabstract/Awesome-Design-Tools;32;283;315
standard/standard;243;402;645
jashkenas/backbone;964;859;1823
niklasvh/html2canvas;224;186;410
0xAX/linux-insides;74;571;645
vuejs/vuex;259;654;913
ClickHouse/ClickHouse;5014;27704;32718
apolloconfig/apollo;275;1325;1600
kenwheeler/slick;243;236;479
caolan/async;290;478;768
ccxt/ccxt;974;7642;8616
webtorrent/webtorrent;194;667;861
sequelize/sequelize;1518;3907;5425
kodecocodes/swift-algorithm-club;158;608;766
Binaryify/NeteaseCloudMusicApi;138;260;398
composer/composer;1081;2627;3708
Kong/insomnia;438;1907;2345
hashicorp/vault;1734;12386;14120
geekcomputers/Python;241;1209;1450
hpcaitech/ColossalAI;294;2135;2429
postcss/postcss;165;699;864
alibaba/easyexcel;161;137;298
herrbischoff/awesome-macos-command-line;77;104;181
coreybutler/nvm-windows;59;77;136
httpie/httpie;182;383;565
pcottle/learnGitBranching;71;519;590
files-community/Files;530;3678;4208
Homebrew/legacy-homebrew;33384;222;33606
donnemartin/interactive-coding-challenges;24;176;200
alebcay/awesome-shell;76;298;374
trailofbits/algo;160;505;665
yewstack/yew;286;1537;1823
solidjs/solid;56;294;350
sharkdp/fd;89;444;533
layui/layui;203;183;386
fastify/fastify;430;2281;2711
microsoft/calculator;225;788;1013
jashkenas/underscore;791;741;1532
swc-project/swc;379;3762;4141
cockroachdb/cockroach;4633;44207;48840
openai/openai-cookbook;25;122;147
WerWolv/ImHex;39;263;302
ianstormtaylor/slate;520;1717;2237
